Address,Property Description
"1006 West 37th Avenue & 5327-5475 Oak Street, Vancouver, British Columbia, Canada","Land | Land Area: 63,050 SF"
"195 Haggart Street, Winnipeg, Manitoba, Canada","Industrial | For Lease: 175,000 SF"
"382-396 Clarence Street, Brampton, Ontario, Canada","Industrial | Building Size: 78,000 SF | Land Area: 6 SF"
"27466 60th Avenue, Langley, British Columbia, Canada","Commercial Strata/Condo | Building Size: 63,849 SF"
"2130 Oxford Street East, London, Ontario, Canada",Industrial
"303 Wellman Lane, Saskatoon, Saskatchewan, Canada","Office | For Lease: 2,669 - 6,164 SF"
"13536 106A Avenue, Surrey, British Columbia, Canada","Land | Land Area: 31,537 SF"
"19343 & 19393 Richardson Road, Pitt Meadows, British Columbia, Canada",Farm | Land Area: 25 ac
"685 Centre Street SW, Calgary, Alberta, Canada","Office | For Lease: 4,400 - 145,178 SF"
"700 2nd Street SW, Calgary, Alberta, Canada","Office | For Lease: 2,396 - 133,044 SF"
"27323 - 72 Township Road 394, Blackfalds, Alberta, Canada",Land | Building Size: 9.26 ac | Land Area: 9.26 ac
"3115 50th Avenue, Red Deer, Alberta, Canada",Land | For Lease: 0.74 ac
"2340 & 2370 Meadowvale Boulevard, Mississauga, Ontario, Canada","Industrial | Building Size: 60,000 SF"
"20 Thomlison Avenue, Red Deer, Alberta, Canada","Office | For Lease: 1,350 - 17,760 SF"
"Highway 316, RM of Blucher, Saskatchewan, Canada",Land | Land Area: 752 ac
"Section 13&14, Township 37, Range 28, West of the 4th Meridian, Red Deer, Alberta, Canada",Industrial
"C993+7H Regina, Sherwood No. 159, SK, Regina, Saskatchewan, Canada","Retail | For Lease: 1,400 - 34,500 SF"
"Parker Industrial Park, RM of Sherwood, Saskatchewan, Canada",Land
"Beam Road and Dalmeny Road, RM of Corman Park, Saskatchewan, Canada","Land | Land Area: 1,496.44 ac"
"905 Park Street, Regina, Saskatchewan, Canada",Land | Land Area: 21.95 ac
"3400 rue de l'Éclipse, Brossard, Quebec, Canada","Office | For Lease: 5,000 - 600,000 SF"
"6750 de l'Esplanade, Montréal, Quebec, Canada","Office | For Lease: 1,530 - 50,000 SF"
"5292 - 5318 Kingsway, Burnaby, British Columbia, Canada","Land | Land Area: 23,907 SF"
"5303 75 Street, Edmonton, Alberta, Canada","Industrial | For Lease: 98,021 SF"
"709 SE Marine Drive, Vancouver, British Columbia, Canada",Retail
"31 Bastion Square, Victoria, British Columbia, Canada","Office | Building Size: 33,880 SF | Land Area: 8,978 SF"
"Rotary Avenue & West Regina Bypass, Regina, Saskatchewan, Canada",Industrial | Land Area: 460 ac
"10304 84 Avenue, Clairmont, Alberta, Canada","Industrial | Building Size: 38,000 SF | Land Area: 5.67 ac"
"1235 Esquimalt Road, Victoria, British Columbia, Canada","Retail | For Lease: 2,850 SF"
"12000-12400 Coleraine Drive, Caledon, Ontario, Canada","Industrial | For Lease: 147,041 - 773,115 SF"
